latitude,longitude,altitude-terrain-above-sea-level,altitude-drone,thermal-Reading-Celsius,audio-Reading-Decibels,particulate-smoke,particulate-watervapor,co2,o2,cell-signal-strength,bluetooth-signal-strength,target_present
71.29479820741363,126.96621117858052,1200.7782875001053,397.8137675716251,14.380950945195734,45.23977036076852,89.79468714171217,41.93138078106503,462.5377201070424,21.15042585074034,-70.15,-41.09,1
45.79659147383282,-153.3383354979154,2774.2256001611763,176.027668161561,3.5297774051560786,34.878489493395776,35.03368584432886,73.36294205294261,417.07868419543036,21.201248701945126,-117.69,-95.62,0
55.24429169613026,143.93972875726894,2636.3867152540047,17.707670936363304,13.518277312684996,30.47825609628731,9.934764822358344,10.358552773004027,427.9110902415929,21.163981230565632,-92.26,-96.63,0
19.38328826712302,-43.51887723609477,704.491357081191,38.03579942850999,48.658309889274875,93.39098724594862,65.92944311926901,72.13899757848628,416.80691051182544,21.557535999975897,-54.55,-57.21,1
82.50364704452568,-84.18364641514675,690.677985684166,227.8421792364646,24.826293728276436,65.17360538164453,74.02996730836922,36.96722379851188,426.7066589521394,21.055651982633616,-60.28,-48.9,1
-89.11302565348072,-47.30770352500505,2835.3989303262015,37.95627065638841,39.058029952407345,78.61904694108198,89.7279077936614,80.10428219512177,450.2015002001253,20.66411831016031,-66.32,-60.64,1
45.93575676398328,-142.6320525493162,312.5922198593921,34.9803863038416,61.001614194684066,79.1651695494017,43.17081938230321,66.9030385499825,446.87600259289616,20.535600034968223,-111.34,-106.56,1
-10.264118069817954,38.0908830190437,2132.9133275756076,204.1752435200163,17.600838949986297,50.67209480930861,48.43101781751326,9.704818714713937,384.96265385759193,21.35613075130661,-35.5,-76.03,1
58.49105131722817,163.46012875909173,1556.706653530484,230.710008991544,10.721048253253553,23.81557980577983,65.08381391962818,77.39864987196758,394.61981255834417,21.068232771358726,-94.38,-99.13,0
-88.51397894982796,-63.74384076503756,585.8917214108429,353.3145889514398,-9.504032210397135,19.51684102899555,6.575895678086563,79.23917849552939,433.3607347110324,20.36404691777404,-92.63,-105.86,0
-35.027871939802814,-58.656577285678,2504.6814090604976,336.2579322698288,14.4246130562036,21.771883670888748,40.86302463552133,76.61487840726156,391.96130004238563,20.50820909252142,-94.55,-104.87,0
28.601537204564735,126.05267586432552,121.89501994132546,424.77900969177165,5.337766759561168,40.555997725587766,92.51920198422174,71.70823074843192,403.9662711393164,20.80758615619247,-57.72,-45.31,1
86.48824761193202,150.43592214798457,1369.0886762369462,344.15593712816155,29.50904077186272,43.86827906669902,12.06867802712429,28.61042258321813,415.81410725174084,19.884522997448066,-102.03,-108.99,1
