latitude,longitude,altitudeOfTerrain,altitudeOfReadingAboveTerrain,thermalReadingCelsius,audioReadingDecibels,particulate-smoke,particulate-watervapor,co2,o2,target_present
-25.948722206786854,136.70281610726056,2757.2038689990113,173.48296579196307,14.09422088676289,36.80224723825604,51.58394835600385,37.64124447838053,418.52884174443045,20.293975318880218,0
-52.94032804443627,-8.740300335242125,890.3865153177258,140.78524662143127,30.933577632301166,33.787269446297714,23.30968956048669,46.01741123896517,436.82416317192076,21.22121490705986,0
-69.64450572747842,168.15013640005975,1891.8578412294935,473.8498697474287,21.892466746458798,39.59092293992184,18.590880882211692,61.133299115393015,411.5448367072569,20.97908518285429,1
-38.32255490348704,89.3950355367677,2333.433767243743,252.7594337755463,30.81632305605456,31.831314537948675,64.01971807371922,39.430076629392,432.07152696271595,19.95640660615469,0
73.67636442314551,60.56356193748056,1408.225302531299,325.0224668085054,4.580248117737792,29.8251644894344,2.3482956474979,42.634956958927184,427.4966399915585,20.741345861577543,0
-3.46506111882924,97.96286697210985,88.12690323109851,125.78858696211437,4.496896098228316,26.56674409839424,86.90212444540659,63.774025961562295,398.25238400122896,21.39289693155924,0
-53.62040935321804,22.385696486152483,2366.9790928478697,429.72120026404696,12.087223919301398,33.65393258309979,23.43461660573084,19.57882927132507,412.52863668764974,20.916632469549302,0
77.00061423830886,-177.10770654086457,1831.7679391258343,432.4551855245731,15.079613929152533,32.83011192342018,78.21971467318699,86.16544122314131,414.84086807852054,21.025010588822397,0
-16.835886755766452,-102.31986701139304,366.5592421342072,161.3483654036311,15.731915437014091,21.185788616365937,42.79416025500758,19.956427233311647,383.8737843753694,21.091971327879065,0
-42.66591466743035,162.8280439263715,2324.515975723344,16.965864986361126,16.435466299899414,31.396660960683807,54.93788107239938,86.27156945981108,439.6527490371697,20.282376049337426,0
-23.942428545282368,102.5097294283047,2094.3930142743993,199.39370279053009,14.426822941437107,29.710306499550022,89.94664603683805,11.810839977090538,378.2651300041218,20.873507703070366,0
-19.952287738289073,43.99796917984983,1285.9747480225958,398.2590699185867,18.92558539250465,30.864305288123,7.817910551281493,85.36225966942351,412.95358430690436,21.68810105248682,0
6.924404675676044,-160.60824932107937,2149.78969982131,174.89084196968298,15.449025281926001,30.65275026938689,39.03012924562256,89.35353260316684,420.23077305628703,20.85548670172814,0
69.59576407518222,-85.32366091926933,279.073230661927,183.440054414736,19.945579525735674,72.03537550908713,66.77186585222138,26.93745088877808,411.27464346088504,20.20265747910645,1
55.94667220083522,-15.689168753159919,921.8681368996852,96.14770160511272,27.27249785338337,32.9379891195765,57.67875377153771,52.50484426174972,374.4959889217911,21.554055792781114,0
-19.124879893227245,151.24951868111464,2599.8546026885533,355.3348628354665,14.554854051808466,23.013357323174596,83.24297195058314,82.66445637180712,439.2863985549889,21.97019875528576,0
